City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
194,Bambous Virieux,MU,-20.34,57.76,69.8,88,75,5.82,light intensity shower rain
195,Hasaki,JP,35.73,140.83,82.4,88,75,9.17,shower rain
196,Athabasca,CA,54.72,-113.29,53.11,59,98,5.39,overcast clouds
197,Ziro,IN,27.63,93.83,57.94,100,96,1.16,overcast clouds
198,Palmer,US,42.16,-72.33,78.8,39,40,4.7,scattered clouds
199,Vardo,NO,70.37,31.11,48.2,87,62,9.17,broken clouds
200,Netarhat,IN,23.48,84.27,68.58,98,100,2.06,overcast clouds
201,Peachland,CA,49.77,-119.74,86.0,33,6,3.0,clear sky
202,Faanui,PF,-16.48,-151.75,78.13,77,56,11.74,light rain
203,Sotouboua,TG,8.57,0.98,70.03,95,100,2.68,overcast clouds
204,San Pedro De Uraba,CO,8.28,-76.38,86.0,74,40,4.7,scattered clouds
205,Alice Springs,AU,-23.7,133.88,75.0,11,0,8.05,clear sky
206,Nome,US,64.5,-165.41,54.0,53,75,21.92,broken clouds
207,Puerto Colombia,CO,10.99,-74.95,73.4,100,75,3.36,broken clouds
208,Coahuayana,MX,18.73,-103.68,77.0,83,75,17.22,thunderstorm
209,Coolum Beach,AU,-26.53,153.1,64.0,97,77,1.99,light rain
210,Saint George,US,37.1,-113.58,109.4,6,1,18.34,clear sky
211,Berbera,SO,10.44,45.01,88.18,65,1,1.61,clear sky
212,Praia Da Vitoria,PT,38.73,-27.07,69.01,77,75,21.54,broken clouds
213,Mount Gambier,AU,-37.83,140.77,62.6,36,56,21.92,broken clouds
214,Poli,TZ,-3.33,36.8,55.78,97,72,4.23,broken clouds
215,Cervena Voda,CZ,50.04,16.74,57.0,73,84,1.01,light rain
216,Champerico,GT,14.3,-91.92,80.6,94,75,9.17,thunderstorm with rain
217,Belyy Yar,RU,53.6,91.39,50.0,87,100,2.24,overcast clouds
218,Padang,ID,-0.95,100.35,76.12,77,67,4.74,broken clouds
219,Hithadhoo,MV,-0.6,73.08,82.04,77,100,11.65,overcast clouds
220,Kruisfontein,ZA,-34.0,24.73,53.01,93,0,3.33,clear sky
221,Torbay,CA,47.67,-52.73,60.01,71,75,9.17,broken clouds
222,Koshurnikovo,RU,54.17,93.3,43.18,89,100,1.77,overcast clouds
223,Porto Belo,BR,-27.16,-48.55,66.99,88,75,3.36,broken clouds
224,Fortuna,US,40.6,-124.16,89.01,54,1,9.17,clear sky
225,Hovd,MN,48.01,91.64,55.99,47,74,6.33,moderate rain
226,Ust-Maya,RU,60.42,134.53,48.81,95,82,2.8,light rain
227,Werda,BW,-25.27,23.28,66.07,27,0,14.9,clear sky
228,Zhucheng,CN,35.99,119.4,68.23,85,1,6.82,clear sky
229,Turukhansk,RU,65.82,87.98,38.79,89,69,3.13,broken clouds
230,Dingle,PH,11.0,122.67,80.08,84,57,1.14,broken clouds
231,Oranjemund,NA,-28.55,16.43,56.64,82,0,14.54,clear sky
232,Broome,US,42.25,-75.83,71.01,56,1,3.36,clear sky
233,Lompoc,US,34.64,-120.46,91.4,35,1,14.99,clear sky
234,Salas,ES,43.41,-6.26,62.6,77,40,2.24,scattered clouds
235,Yar-Sale,RU,66.83,70.83,37.67,77,0,1.05,clear sky
236,Riviere-Du-Loup,CA,47.83,-69.53,55.11,77,0,6.49,clear sky
237,Yarim,YE,14.3,44.38,58.37,59,11,2.06,few clouds
238,Comodoro Rivadavia,AR,-45.87,-67.5,51.8,57,0,2.24,clear sky
239,Khuzdar,PK,27.74,66.64,76.86,20,0,3.44,clear sky
