City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
71,Sao Lourenco Do Sul,BR,55.99,overcast clouds,-31.37,-51.98,Hotel Pousada Verde Água
72,Castro,BR,65.52,clear sky,-24.79,-50.01,CHACARA BAILLY
73,Truro,GB,57.99,broken clouds,50.27,-5.05,Mannings Hotel
74,Cabo San Lucas,MX,84.99,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
76,Nikolskoye,RU,54.0,clear sky,59.7,30.79,Tourist House - Sablino
77,Bima,ID,74.77,few clouds,-8.47,118.72,Lambitu Hotel
79,Terrace Bay,CA,56.91,overcast clouds,48.78,-87.1,Drifters Motel & Restaurant
80,Marsh Harbour,BS,84.4,overcast clouds,26.54,-77.06,Abaco Beach Resort
82,Vaini,TO,73.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
83,Hobart,AU,61.0,broken clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
85,Vila Velha,BR,77.0,clear sky,-20.33,-40.29,Hotel Vitória Palace
87,Namibe,AO,67.1,broken clouds,-15.2,12.15,Hotel Chik Chik Namibe
89,Saint-Philippe,RE,66.2,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
90,Salalah,OM,78.8,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
91,Puri,IN,82.4,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
93,Peleduy,RU,55.17,overcast clouds,59.63,112.74,Гостиница «Уют»
96,Kanbe,MM,78.8,broken clouds,16.71,96.0,CBT Mingalar Bar Bio Garden
97,Ferme-Neuve,CA,56.53,overcast clouds,46.7,-75.45,Pourvoirie Club Fontbrune Ltee
98,Ponta Do Sol,PT,73.4,few clouds,32.67,-17.1,Hotel do Campo
99,Sitka,US,60.8,scattered clouds,57.05,-135.33,Westmark Sitka
100,Suzhou,CN,80.01,clear sky,31.31,120.62,Holiday Inn Jasmine Suzhou
101,Kamiiso,JP,75.2,broken clouds,41.82,140.65,ビジネス民宿あべ
102,Madikeri,IN,65.93,overcast clouds,12.42,75.73,Club Mahindra Madikeri Resort In Coorg
103,Norman Wells,CA,55.4,broken clouds,65.28,-126.83,Heritage Hotel
105,Sioux Lookout,CA,60.8,scattered clouds,50.1,-91.92,Knobby's Fly-In Camps
107,Lafiagi,NG,73.56,scattered clouds,8.87,5.42,EMI SONMASUN BINDOFUL LAFIAGI
109,Hambantota,LK,79.74,overcast clouds,6.12,81.12,Bungalow 63
110,Georgetown,MY,80.6,light rain,5.41,100.34,Cititel Penang
111,Carnarvon,AU,66.2,scattered clouds,-24.87,113.63,Hospitality Carnarvon
113,Powell River,CA,75.0,broken clouds,49.85,-124.54,Rodmay Hotel
114,New Norfolk,AU,59.0,broken clouds,-42.78,147.06,The Shingles Riverside Cottages
115,Moura,PT,71.6,clear sky,38.14,-7.45,Hotel de Moura
117,Quatre Cocos,MU,69.8,light intensity shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
119,Husavik,IS,55.4,broken clouds,66.04,-17.34,Bjarnabúð
120,Puerto Baquerizo Moreno,EC,66.27,broken clouds,-0.9,-89.6,Hotel los Algarrobos
121,Altay,CN,54.21,overcast clouds,47.87,88.12,Jinqiao Hotel
122,Kununurra,AU,73.4,overcast clouds,-15.77,128.73,Hotel Kununurra
125,Los Llanos De Aridane,ES,73.4,few clouds,28.66,-17.92,Valle Aridane
126,Lorengau,PG,84.2,clear sky,-2.02,147.27,Lorengau Harbourside Hotel
127,Arraial Do Cabo,BR,72.84,clear sky,-22.97,-42.03,Pousada Porto Praia
128,Kaohsiung,TW,79.0,scattered clouds,22.62,120.31,Kindness Hotel
129,Sinnamary,GF,79.14,broken clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
130,Ancud,CL,50.0,clear sky,-41.87,-73.82,Hotel Arena Gruesa
131,Havelock,US,81.0,scattered clouds,34.88,-76.9,Sherwood Motel
132,Hamilton,US,80.6,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
133,Nemuro,JP,68.34,overcast clouds,43.32,145.57,Hotel Nemuro Kaiyoutei
